county_name,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
Lamu,1.0,0.006286510914045204,0.2723070620748459,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.3425531914893617,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149011.1702128,0.0,-0.06624913792151788,0.03436316499751403,0.0,0.7007928017958225,84483.67424039268,168522
Machakos,0.7202584313638617,0.005086473278949904,0.294046885151125,0.67604324,0.77641417,0.8707250152325273,"Improve (Low Vuln, Low Eff)",0.7085106382978723,380,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329182296.1702128,0.0,-0.14436068115827247,0.08165420573673002,0.0,0.52077803644012,645672.1150296052,1664999
Makueni,0.6229109967880454,0.004668384120763713,0.15427543310953531,0.7143994,0.74544896,0.9583478391330775,"Priority (High Vuln, Low Eff)",0.4095744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329174046.1702128,0.0,0.11169202898476119,0.07597218147242597,0.0,0.705132591372831,878866.0629803954,1156483
Mandera,1.0,0.00792938932163398,0.1717446311187853,0.83648504,1.0,0.83648504,"Maintain (Low Vuln, High Eff)",0.15904255319148936,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298922.3404256,329149461.1702128,0.0,-0.22943130354115773,0.031243605036447977,3.3330013976466497,0.5584880086686502,268304.614021839,1015741
Marsabit,0.3420677913285144,0.01807291588046088,1.0,0.61869018,0.72165207,0.857324749307516,"Improve (Low Vuln, Low Eff)",0.22340425531914893,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329148936.1702128,0.0,-0.29552921677560423,0.13564518278018278,0.0,0.23767345352342006,90489.82240586584,538381
Meru,0.9865643454574158,0.003097097716748898,0.1160831318063007,0.7472229,0.9284897,0.8047724169691921,"Maintain (Low Vuln, High Eff)",0.43936170212765957,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658298622.3404256,329149311.1702128,987447933.5106384,-0.12865591656817432,0.12233198904655215,3.3329998787311763,0.6409960204080509,743192.3972292847,1809940
Migori,1.0,0.0034135908612093883,0.07209281474034286,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.524468085106383,202,202.0,Capacity,100.0,National quota,303.0,True,True,True,True,664965660.7638298,329190921.1702128,997448491.1457448,0.07517413918684547,0.06657843948166528,3.366755438142344,0.8241225181030698,924078.8493138319,1307281
Mombasa,1.0,0.003387972623435715,0.1286892099974925,0.79462944,0.89214865,0.8906917473898549,"Expand (High Vuln, High Eff)",0.9095744680851063,553,553.0,Capacity,508.0,National quota,830.0,True,True,True,True,1820203571.0212767,1672085739.744681,2731951110.212766,0.09399381198631673,0.1124399939668175,9.2157845628039,0.8405344196995486,1038844.0391423919,1414887
Murang'a,1e-06,0.9999848401925387,1.0,0.82460292,1.0,0.82460292,"Improve (Low Vuln, Low Eff)",0.6414893617021276,328,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.07345439739072315,0.3043865294330083,0.0,0.29450937643313413,607309.2576896481,1237263
Nairobi,1.0,0.002598590786641519,0.09335696623787357,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.8382978723404255,490,490.0,Capacity,490.0,Capacity,735.0,True,True,True,True,1613013537.2340426,1613013537.2340426,2419520305.851064,0.1769794975380904,0.1558592830682066,8.16677073526159,0.9129029948445055,4401317.195491398,5148713
Nakuru,0.995519358727289,0.006301654491686836,0.11917647759172383,0.78532023,0.84587045,0.9284166742082075,"Expand (High Vuln, High Eff)",0.5563829787234041,265,265.0,Capacity,265.0,Capacity,398.0,True,True,True,True,872244680.8510638,872244680.8510638,1310012765.9574468,0.03686429971357667,0.06127018140589569,4.416219807911302,0.7889217450888757,1648690.0193956536,2531811
Nandi,1.0,0.009867022836593055,0.13154896596825794,0.83282396,0.8479365,0.9821772738878443,"Expand (High Vuln, High Eff)",0.4351063829787234,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658297872.3404256,329148936.1702128,987446808.5106384,0.07776938860955382,0.05989532397232397,3.332996081442493,0.8263857337603051,737018.4004480313,1037115
Narok,0.870363442164275,0.005218322684626933,0.13812013991966862,0.75816635,0.78985969,0.9598747215470637,"Priority (High Vuln, Low Eff)",0.33723404255319145,200,200.0,Capacity,100.0,National quota,232.0,True,True,True,True,658298622.3404256,329149311.1702128,763626401.9148936,-0.0021165006739281636,0.05424075620505683,3.3329998787311763,0.7048656948812442,806069.7236506658,1355801
Nyamira,0.34650287995774187,0.013579799902952591,0.3167674515482774,0.55086903,0.78114229,0.7052095847992047,"Priority (High Vuln, Low Eff)",0.35744680851063826,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.026825598454177854,0.11871162120592645,0.0,0.47377342135900125,396114.71756229625,709094
Nyandarua,1.0,0.00697680791135282,0.12550523759074217,0.96120403,0.96695703,0.9940504078035401,"Expand (High Vuln, High Eff)",0.502127659574468,227,227.0,Capacity,100.0,National quota,340.0,True,True,True,True,747540455.906383,329312976.17021275,1119664118.9787235,0.1236146906087834,0.052664136125654445,3.7848358850038237,0.8663656310246903,580935.3437703709,747399
Nyeri,1.0,0.006785678224538476,0.40620369491175456,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.5074468085106383,229,229.0,Capacity,100.0,National quota,344.0,True,True,True,True,753751922.5797873,329149311.1702128,1132273630.4255319,0.032624589998090835,0.06195384280593958,3.8162848611471962,0.7870167181403842,573388.4889280677,888936
Samburu,0.49700408075120983,0.006223811350638621,0.21743495283374586,0.85624483,0.88363255,0.9690055328993935,"Priority (High Vuln, Low Eff)",0.2606382978723404,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,0.11706466448038158,0.16184751278475126,0.0,0.659455040168566,278983.3419909905,363375
Siaya,1.0,1.4556007855037893e-07,0.21586710680753915,0.93263841,0.95579005,0.9757774837685327,"Expand (High Vuln, High Eff)",0.3276595744680851,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658298082.3404255,329149041.17021275,987447123.5106384,0.15895926392298795,0.04492176233242223,3.3329971446833233,0.8971882529365098,963682.5890779841,1162959
Taita-Taveta,0.7630111139099194,7.11401922620076e-08,0.10662040543752431,0.70908828,0.7257342,0.9770633380650933,"Priority (High Vuln, Low Eff)",0.21595744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,0.27685440412368356,0.06450714150047483,0.0,0.9052043507683185,398904.0,398904
Tana River,0.7659532674715473,0.004362546001970811,0.18709570770950407,0.75751308,0.75939139,0.9975265587354104,"Priority (High Vuln, Low Eff)",0.39095744680851063,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.027469327706829277,0.04454406096866097,0.0,0.6409923730061522,206316.22186436027,369951
Tharaka-Nithi,1.0,0.0025024004306928417,0.06227063443108208,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.36489361702127654,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658297872.3404256,329148936.1702128,0.0,-0.10061219546513146,0.11708666666666667,3.332996081442493,0.6708261214518494,207808.04262808757,460387
Trans Nzoia,0.9609406909418906,0.007826642303146862,0.17353639751540217,0.83844949,0.84648226,0.9905104095152567,"Expand (High Vuln, High Eff)",0.33085106382978724,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658322142.3404256,329161071.1702128,987483213.5106384,0.05559630214781931,0.048276748928759654,3.3331189617042942,0.7914257118383955,786711.936685981,1159631
Turkana,0.7970793769136322,0.0028272425487946163,0.23750004561852686,0.98321648,1.0,0.98321648,"Improve (Low Vuln, Low Eff)",0.5404255319148936,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.11218753464394778,0.061713814567075434,0.0,0.5795633898565167,471678.45674672537,1085434
Uasin Gishu,1.0,0.006035390150363782,0.17550482702865838,0.82699504,0.87678648,0.9432114418552622,"Expand (High Vuln, High Eff)",0.47553191489361696,209,209.0,Capacity,100.0,National quota,314.0,True,True,True,True,687921276.5957447,329148936.1702128,1033527659.5744681,0.0764234975594234,0.0959809706257982,3.4829809051074045,0.8252120347428098,965246.9099741188,1362022
Vihiga,0.8814102234261105,0.0026430229157509847,0.2481669392437785,0.75410204,0.78954663,0.9551076672950906,"Priority (High Vuln, Low Eff)",0.3712765957446808,200,195.0,National quota,100.0,National quota,0.0,False,True,True,False,641840425.531915,329148936.1702128,0.0,0.10864880196715894,0.055698055555555556,3.2496711794064304,0.805878506007055,521968.9396563594,690870
Wajir,1.0,0.015389390782221929,1.0,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.1595744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329415636.1702128,0.0,-0.41117090563721875,0.03345822431536717,0.0,0.4,0.0,914813
West Pokot,1e-06,0.9999726363733925,1.0,0.55044791,0.56387253,0.9761921014311514,"Improve (Low Vuln, Low Eff)",0.275531914893617,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329148936.1702128,0.0,-0.12347040157551482,0.060194756071351815,0.0,0.2508923726904903,304180.65818808705,727437
