household_unique_key,county_code,county_name,HFVS,HFVS_tier,d1_score,d2_score,d3_score,d4_score,d5_score,housing_cost_burden,is_urban_household,is_female_headed_hh,dwelling_tenure_type_code,hcb_predicted_hurdle,in_test_split,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
00-20-84-51,19.0,Nyeri,-0.051731825275345186,Moderate,1.1920006882630074,-1.1334803140094243,0.41826320186353827,0.45907016268958317,-0.7713670763591414,0.006666666666666667,1.0,0.0,1.0,0.022508934326252686,True,1.0,0.006785678224538476,0.40620369491175456,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.5074468085106383,229,229.0,Capacity,100.0,National quota,344.0,True,True,True,True,753751922.5797873,329149311.1702128,1132273630.4255319,0.032624589998090835,0.06195384280593958,3.8162848611471962,0.7870167181403842,573388.4889280677,888936
00-21-88-01,39.0,Bungoma,0.10206404665347339,High,-0.2503505514848045,0.20346812709641843,-0.39568912579723997,0.5909790015015969,0.36283459101275356,0.0044444444444444444,0.0,0.0,1.0,0.0044444444444444444,False,1.0,0.001774964512053704,0.07015698654287444,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.4691489361702127,205,205.0,Capacity,205.0,Capacity,308.0,True,True,True,True,674755934.1489362,674755934.1489362,1013779647.4042554,-0.023210968616952918,0.03356869796869797,3.416324097255275,0.7383247082771593,1103016.927540957,1956139
00-22-11-15,38.0,Vihiga,-0.036971286359292005,Moderate,-0.2503505514848045,0.20346812709641843,-0.884060522393707,-0.18056326324791788,0.990568847168269,0.0044444444444444444,0.0,0.0,1.0,0.0044444444444444444,False,0.8814102234261105,0.0026430229157509847,0.2481669392437785,0.75410204,0.78954663,0.9551076672950906,"Priority (High Vuln, Low Eff)",0.3712765957446808,200,195.0,National quota,100.0,National quota,0.0,False,True,True,False,641840425.531915,329148936.1702128,0.0,0.10864880196715894,0.055698055555555556,3.2496711794064304,0.805878506007055,521968.9396563594,690870
00-22-83-31,38.0,Vihiga,-0.2028498625011547,Moderate,-1.2119180446500124,-1.1334803140094243,0.5810536673956941,1.379113573019918,1.6658587287901092,1.0,0.0,0.0,1.0,1.0,False,0.8814102234261105,0.0026430229157509847,0.2481669392437785,0.75410204,0.78954663,0.9551076672950906,"Priority (High Vuln, Low Eff)",0.3712765957446808,200,195.0,National quota,100.0,National quota,0.0,False,True,True,False,641840425.531915,329148936.1702128,0.0,0.10864880196715894,0.055698055555555556,3.2496711794064304,0.805878506007055,521968.9396563594,690870
00-23-69-20,32.0,Nakuru,-0.1102316579956013,Moderate,0.7112169416804034,-0.7992432037329633,0.41826320186353827,-0.3050055640139686,0.001411837468670141,0.022222222222222223,1.0,0.0,2.0,0.022222222222222223,False,0.995519358727289,0.006301654491686836,0.11917647759172383,0.78532023,0.84587045,0.9284166742082075,"Expand (High Vuln, High Eff)",0.5563829787234041,265,265.0,Capacity,265.0,Capacity,398.0,True,True,True,True,872244680.8510638,872244680.8510638,1310012765.9574468,0.03686429971357667,0.06127018140589569,4.416219807911302,0.7889217450888757,1648690.0193956536,2531811
00-26-22-37,46.0,Nyamira,0.08839584267845192,High,-0.2503505514848045,0.8719423476493402,-1.1282462206919404,-0.45848440162543147,0.7052350943703076,0.0,1.0,1.0,3.0,0.0,False,0.34650287995774187,0.013579799902952591,0.3167674515482774,0.55086903,0.78114229,0.7052095847992047,"Priority (High Vuln, Low Eff)",0.35744680851063826,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.026825598454177854,0.11871162120592645,0.0,0.47377342135900125,396114.71756229625,709094
00-26-32-40,21.0,Murang'a,-0.0808566014310276,Moderate,0.7112169416804034,-0.7992432037329633,2.1275630899511726,-0.6683770822508369,-1.2707011437555735,0.025,1.0,0.0,2.0,0.025,False,1e-06,0.9999848401925387,1.0,0.82460292,1.0,0.82460292,"Improve (Low Vuln, Low Eff)",0.6414893617021276,328,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.07345439739072315,0.3043865294330083,0.0,0.29450937643313413,607309.2576896481,1237263
00-27-17-97,31.0,Laikipia,-0.4571610077213444,Moderate,0.23043319509779941,-1.1334803140094243,-0.39568912579723997,0.46653670073554576,-1.4775681145340949,0.008888888888888889,0.0,0.0,1.0,0.008888888888888889,False,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.74495683,0.9877295708531191,"Expand (High Vuln, High Eff)",0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,True,True,False,859079702.1542554,329149311.1702128,0.0,0.1155324308505058,0.10054860366849132,4.349564841744185,0.8443874285968377,464831.5134460619,607203
00-27-61-74,33.0,Narok,0.42396557916470495,High,1.6727844348456111,0.5377052373728798,-1.1282462206919404,-0.6119632392368939,0.881190908595717,0.13333333333333333,1.0,0.0,2.0,0.026899728934061083,True,0.870363442164275,0.005218322684626933,0.13812013991966862,0.75816635,0.78985969,0.9598747215470637,"Priority (High Vuln, Low Eff)",0.33723404255319145,200,200.0,Capacity,100.0,National quota,232.0,True,True,True,True,658298622.3404256,329149311.1702128,763626401.9148936,-0.0021165006739281636,0.05424075620505683,3.3329998787311763,0.7048656948812442,806069.7236506658,1355801
00-28-07-86,14.0,Embu,-0.017207009110778937,Moderate,0.23043319509779941,0.20346812709641843,0.09268227079922692,-0.1639709564791112,-1.2778344875755225,0.008888888888888889,0.0,1.0,1.0,0.008888888888888889,False,1.0,0.006799001442634716,0.10892523252827682,0.95496176,1.0,0.95496176,"Maintain (Low Vuln, High Eff)",0.32127659574468087,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.04079940453140937,0.0787942612942613,3.3329998787311763,0.7229865202788992,383618.6264873885,712634
