county_name,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,mean_hfvs
Kiambu,0.7627659574468085,200,200.0,Capacity,200.0,Capacity,300.0,True,1.0,0.002371296694670007,0.19717058247593847,1.0,-0.08809579393276237
Kilifi,0.5287234042553192,200,200.0,Capacity,100.0,National quota,0.0,True,0.8181719766172306,0.0036298972198070085,0.19450639335609124,0.6787647,-0.09473909535559052
Kirinyaga,0.39095744680851063,200,200.0,Capacity,100.0,National quota,0.0,True,1.0,0.004641522281658774,0.14657707833266148,0.97264703,-0.03344861223506404
Kisii,0.39095744680851063,200,0.0,Not activated,100.0,National quota,0.0,False,0.47257501811549263,0.0032097322960849646,0.23295013874999956,0.91021097,-0.10144112962006309
Kisumu,0.5101063829787233,232,232.0,Capacity,100.0,National quota,348.0,True,1.0,0.005206784932629884,0.14746752877431088,0.89297886,-0.08387579428884802
Kitui,0.31276595744680846,200,0.0,Not activated,100.0,National quota,0.0,False,0.5081737580319872,1.1616884732228591e-07,0.15576753568991772,0.75095552,0.055375853168760814
Kwale,0.39095744680851063,200,200.0,Capacity,100.0,National quota,0.0,True,0.8894595090627435,0.002308732961189776,0.13277342827911795,0.83457423,-0.025200943760602466
Laikipia,0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.1155324308505058
Lamu,0.3425531914893617,200,0.0,Not activated,100.0,National quota,0.0,False,1.0,0.006286510914045204,0.2723070620748459,1.0,-0.06624913792151788
Machakos,0.7085106382978723,380,0.0,Not activated,100.0,National quota,0.0,False,0.7202584313638617,0.005086473278949904,0.294046885151125,0.67604324,-0.14436068115827247
Makueni,0.4095744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,0.6229109967880454,0.004668384120763713,0.15427543310953531,0.7143994,0.11169202898476119
Mandera,0.15904255319148936,200,200.0,Capacity,100.0,National quota,0.0,True,1.0,0.00792938932163398,0.1717446311187853,0.83648504,-0.22943130354115773
